checked_at,player_name,transfermarkt_team,position,market_value_eur,mws_name,event_name,labels,current_bid_eur,current_bid_usd,end_date_utc,slug,url
2026-09-06T20:58:48.768823+00:00,Franco Mastantuono,CA River Plate,Right Winger,50000000,Franco Mastantuono,ACF Fiorentina - Frosinone,"Issued, Signed",453,527,2026-09-09T16:30:00Z,franco-mastantuono-2jiHSJh-GEmiPbVjXoYxbQ-43,https://mws.com/us/product/franco-mastantuono-2jiHSJh-GEmiPbVjXoYxbQ-43
2026-09-06T20:58:48.768823+00:00,Vasilije Kostov,Red Star Belgrade,Attacking Midfield,10000000,Vasilije Kostov,Viktoria Plzeň - FK Crvena zvezda,"Worn, Signed",112,131,2026-09-09T17:30:00Z,vasilije-kostov-RwGHxNxr0U2iHmVrldJkAA,https://mws.com/us/product/vasilije-kostov-RwGHxNxr0U2iHmVrldJkAA
2026-09-06T20:58:48.768823+00:00,Dro Fernández,FC Barcelona UEFA U19,Attacking Midfield,10000000,Dro Fernández,LOSC Lille - Paris Saint-Germain,"Worn, Signed",369,429,2026-09-11T14:00:00Z,dro-fernandez-RkjV1HDdQE-xztX6jdFtQQ,https://mws.com/us/product/dro-fernandez-RkjV1HDdQE-xztX6jdFtQQ
2026-09-06T20:58:48.768823+00:00,Lucca Brughmans,Jong Genk,Goalkeeper,1000000,Lucca Brughmans,RSC Anderlecht - KRC Genk,"Worn, Signed",270,314,2026-09-12T09:00:00Z,lucca-brughmans-PBbUlRMVT0uCgqnQ9OFAgA,https://mws.com/us/product/lucca-brughmans-PBbUlRMVT0uCgqnQ9OFAgA
2026-09-06T20:58:48.768823+00:00,Khalis Merah,Olympique Lyon U19,Central Midfield,8000000,Khalis Merah,Olympique Lyonnais - AJ Auxerre,"Issued, Signed",145,169,2026-09-12T13:15:00Z,khalis-merah-3maBJ7XpS0u-OylAki5Eqw,https://mws.com/us/product/khalis-merah-3maBJ7XpS0u-OylAki5Eqw
2026-09-06T20:58:48.768823+00:00,Wael Mohya,Borussia Mönchengladbach U17,Attacking Midfield,2500000,Wael Mohya,Borussia Mönchengladbach - Elversberg,"Worn, Signed",170,198,2026-09-12T13:30:00Z,wael-mohya-33CK9G57gU-7aDN0Rhe1fg,https://mws.com/us/product/wael-mohya-33CK9G57gU-7aDN0Rhe1fg
2026-09-06T20:58:48.768823+00:00,James Wilson,Heart of Midlothian FC,Centre-Forward,1200000,James Wilson,Hibernian - Heart of Midlothian,"Worn, Signed",251,291,2026-09-12T16:45:00Z,james-wilson-jDUe1zxizEyUKMLyGT_I3A,https://mws.com/us/product/james-wilson-jDUe1zxizEyUKMLyGT_I3A
2026-09-06T20:58:48.768823+00:00,Semm Renders,Royal Antwerp FC,Right-Back,1500000,Semm Renders,Standard de Liège - Royal Antwerp FC,"Worn, Signed",46,54,2026-09-12T18:45:00Z,semm-renders-z-6j3ZJMB0e85ttLFJrRew,https://mws.com/us/product/semm-renders-z-6j3ZJMB0e85ttLFJrRew
2026-09-06T20:58:48.768823+00:00,Chido Obi,Manchester United,Centre-Forward,5000000,Chido Obi,Willem II - Excelsior Rotterdam,"Worn, Signed",281,327,2026-09-12T19:00:00Z,chido-obi-daJHlfBACkuYY8NLFBC6ng,https://mws.com/us/product/chido-obi-daJHlfBACkuYY8NLFBC6ng
2026-09-06T20:58:48.768823+00:00,Estêvão,Sociedade Esportiva Palmeiras,Right Winger,80000000,Estêvão,Arsenal - Chelsea,"Issued, Signed",100,117,2026-09-13T15:30:00Z,estevao-MoEvYYLvz0eqSqVaNLuByw,https://mws.com/us/product/estevao-MoEvYYLvz0eqSqVaNLuByw
